system;sector;region;grid
5251977;Quence;Outer Rim Territories;P-18
Adelphi;Kibilini;Outer Rim Territories;P-17
23 Mere;;Colonies;M-13
Adikaria;;Core Worlds;K-12
2GS-91E20;;Core Worlds;M-11
Adim;Adari;Inner Rim;M-9
A-Foroon;Arkanis;Outer Rim Territories;R-16
Adin;Lostar;Expansion Region;M-7
Aaeton;;Core Worlds;K-9
Adinax Nebula;Semagi;Mid Rim;I-16
Aakaash;Oplovis;Outer Rim Territories;M-5
Adner;Yataga;Expansion Region;N-16
Aaloth;Gaulus;Outer Rim Territories;S-17
Adoris;Senex;Mid Rim;L-17
Aar;Nijune;Outer Rim Territories;N-5
Adras;Seswenna;Outer Rim Territories;M-17
Aargau;;Core Worlds;L-10
Adratharpe;;Mid Rim;H-15
Aargonar;Perkell;Mid Rim;Q-7
Adrathorpe;;Wild Space;H-11
Aaris;Kathol;Outer Rim Territories;M-21
Aduba;Bheriz;Outer Rim Territories;U-11
Aaron;Tharin;Outer Rim Territories;S-8
Adumar;;Wild Space;J-6
Ab Dalis;Gaulus;Outer Rim Territories;R-17
Aefao;Corosi;Outer Rim Territories;N-5
Ab'Bshingh;Sujimis;Outer Rim Territories;O-19
Aeneid;Kessel;Outer Rim Territories;T-10
Abaarian;Abaar;Mid Rim;K-7
Aeos;Chopani;Outer Rim Territories;M-3
Abafar;Quelii;Outer Rim Territories;O-6
Aesolian;;Wild Space;I-15
Abar;Tragan Cluster;Outer Rim Territories;N-5
Aestilan;Demetras;Outer Rim Territories;P-7
Abbaji;Zuma (Spar);Outer Rim Territories;H-16
Aeten;;Wild Space;J-6
Abecederia;Noolian;Mid Rim;Q-13
Affa;;Inner Rim;M-13
Abednedo;;Colonies;N-12
Affadar;Fellwe;Expansion Region;L-8
Abelor;Yushan;Mid Rim;K-17
Affavan;;Hutt Space;S-12
Abersyn;Cyrillian Protectorate;Expansion Region;O-12
Agamar;Lahara;Outer Rim Territories;M-5
Abhean;Maldrood;Mid Rim;R-7
Agaris;;Wild Space;G-14
Abo Dreth;Corporate Sector;Outer Rim Territories;S-3
Agash;Great Agash;Expansion Region;K-15
Abonshee;Fakir;Colonies;K-9
Aggarda;Metatessu;Mid Rim;R-10
Abraxas;Yushan;Mid Rim;K-17
Agoliba-Tu;Veragi;Outer Rim Territories;K-3
Abraxin;Tion Hegemony;Outer Rim Territories;S-6
Agomar;Seswenna;Outer Rim Territories;M-18
Abregado;;Core Worlds;K-13
Agon;Ash Worlds;Outer Rim Territories;T-7
Abridon;Koradin;Outer Rim Territories;J-18
Agora;Sluis;Outer Rim Territories;M-19
Abrihom;Rayter;Outer Rim Territories;J-19
Agridorn;;Colonies;N-12
Abrion Major;Abrion;Outer Rim Territories;S-15
Agriworld-2079;M'shinni;Mid Rim;L-7
Absanz;Allied Tion;Outer Rim Territories;S-6
Aguarl;Mbandamonte;Expansion Region;N-15
Absit;Tunka;Outer Rim Territories;I-19
Ahakista;Myto;Outer Rim Territories;K-3
Abtin;Danjar;Outer Rim Territories;N-19
Ahch-To;;Unknown Regions;F-13
Abyss;Ash Worlds;Outer Rim Territories;S-7
Ahn Krantarium;Esuain;Mid Rim;P-7
Ac'fren;Calaron;Outer Rim Territories;T-9
Ai'ken Prime;;Inner Rim;O-10
Acachla;;Colonies;N-10
Aida;Aida;Mid Rim;Q-13
Achillea;Tapani;Colonies;L-13
Aikhibba;Fei Hu;Mid Rim;P-13
Acomber;;Colonies;M-9
Ailon;;Inner Rim;N-12
Actlyon;Jjannex;Outer Rim Territories;K-19
Aiqin;Airam;Outer Rim Territories;L-20
Adalog;Mytaranor;Mid Rim;Q-10
Ajan Kloss;Cademimu;Outer Rim Territories;L-5
Adamastor;;Core Worlds;L-9
Ak-Hurst;Tarabba;Outer Rim Territories;M-19
Adana;;Deep Core;L-10
Akiva;Meerian;Outer Rim Territories;O-6
Adari;Adari;Inner Rim;M-9
Akkadese Maelstrom;Kessel;Outer Rim Territories;T-10
Adarlon;Minos Cluster;Outer Rim Territories;M-20
Aklasian Nebula;Kastolar;Mid Rim;R-10
Akrit'tar;Calaron;Outer Rim Territories;T-9
Alnaria;;Colonies;J-9
Akuria;Oplovis;Outer Rim Territories;M-5
Aloxl;;Deep Core;L-10
Al'doleem;Hune;Mid Rim;Q-12
Aloxor;Kontahr;Mid Rim;R-11
Alabash;Fakir;Colonies;K-9
Alpheridies;Farstey;Expansion Region;O-8
Alagon;Tennuutta;Mid Rim;Q-7
Alphoresis;Grumani;Outer Rim Territories;M-17
Alakatha;Var Hagen;Mid Rim;M-16
Alpinn;Kanz;Outer Rim Territories;N-4
Alamass;Calaron;Outer Rim Territories;T-9
Alsakan;Alsaka;Core Worlds;L-9
Alarevi;Gaulus;Outer Rim Territories;S-17
Altair;Thrasybule;Outer Rim Territories;P-6
Alashan;;Wild Space;J-5
Altano;Piryn Shar;Expansion Region;K-16
Alaspin;Suolriep;Outer Rim Territories;S-8
Altarrn;Glythe;Mid Rim;J-7
Alassa Major;Vilonis;Mid Rim;O-16
Altawar;Corellian;Core Worlds;M-11
Alba;Belsmuth;Outer Rim Territories;O-6
Althir;Rolion;Outer Rim Territories;P-6
Albarrio;Albarrio;Outer Rim Territories;K-5
Altier;Altier;Expansion Region;O-13
Albecus;;Core Worlds;L-9
Altikar;Toblain;Outer Rim Territories;O-18
Albrae-Don;Sern;Colonies;L-13
Altooni;Corellian;Core Worlds;M-11
Alchenaut;Alchenaut;Expansion Region;L-16
Altor;Zoraster;Outer Rim Territories;U-13
Alderaan;Alderaan;Core Worlds;M-10
Altora;Dalonbian;Outer Rim Territories;L-3
Alderath;Alderath;Mid Rim;L-7
Altratonne;Ash Worlds;Outer Rim Territories;S-7
Alderbathe;Churnis;Mid Rim;J-6
Altunna;Cassander;Outer Rim Territories;K-5
Aldereen;;Inner Rim;M-14
Altyr;Morshdine;Outer Rim Territories;O-5
Aldhani;Cademimu;Outer Rim Territories;M-6
Aludia;Trilon;Outer Rim Territories;H-16
Aldin;Aldino;Mid Rim;J-17
Alui;Alui;Mid Rim;O-17
Aldivy;Illisurevimurasi;Outer Rim Territories;Q-4
Alun;Oriolan;Mid Rim;J-16
Aldo Spach;Jospro;Outer Rim Territories;S-7
Alurion;Raioballo;Outer Rim Territories;L-4
Aldraig;Alderaan;Core Worlds;M-10
Alvadorjia;Andirma;Expansion Region;L-15
Alee;;Hutt Space;R-9
Alvorine;Yminis;Outer Rim Territories;S-14
Aleen;Bright Jewel;Mid Rim;L-7
Alzar;Thanium;Outer Rim Territories;R-6
Aleen Minor;;Inner Rim;M-13
Alzoc;Sujimis;Outer Rim Territories;P-19
Aleron;Tapani;Colonies;L-13
Amaltanna;Kanz;Outer Rim Territories;N-4
Alfestril;;Inner Rim;N-12
Amar;Airon;Inner Rim;O-10
Algara;Lambda;Mid Rim;P-15
Amarin;Allied Tion;Outer Rim Territories;S-6
Algarian;Dufilvian;Mid Rim;Q-15
Amaxine Station;Tunka;Outer Rim Territories;J-19
Algarra;Thrasybule;Outer Rim Territories;P-6
Ambria;Airon;Inner Rim;O-10
Algnadesh;Hapes Cluster;Inner Rim;O-9
